id,nearc2,nearc4,educ,age,fatheduc,motheduc,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,black,smsa,south,smsa66,wage,enroll,KWW,IQ,married,libcrd14,exper,lwage,expersq
82,1,1,15,32,10.0,12.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,624,0,39.0,109.0,1.0,1.0,11,6.43615102767944,121
83,1,1,11,34,8.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,36.0,72.0,1.0,0.0,17,6.47697305679321,289
87,1,1,12,24,,10.0,102031,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,344,0,31.0,,6.0,0.0,6,5.84064102172852,36
90,1,1,16,24,12.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,380,0,,,6.0,0.0,2,5.9401707649231,4
91,1,1,12,24,12.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,353,0,25.0,101.0,1.0,1.0,6,5.86646795272827,36
92,1,1,13,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,659,0,29.0,105.0,6.0,1.0,6,6.49072408676147,36
93,1,1,17,28,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,621,1,48.0,136.0,1.0,1.0,5,6.43133115768433,25
97,1,1,12,25,10.0,11.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,440,0,40.0,101.0,1.0,1.0,7,6.0867748260498,49
98,1,1,12,26,12.0,10.0,104596,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,738,0,34.0,96.0,6.0,1.0,8,6.60394382476807,64
102,1,1,11,31,5.0,5.0,158413,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,280,0,36.0,,1.0,0.0,14,5.63478899002075,196
107,1,1,10,24,5.0,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,434,0,34.0,,1.0,1.0,8,6.07304382324219,64
108,1,1,12,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,34.0,101.0,1.0,1.0,9,6.55819797515869,81
110,1,1,12,27,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,425,0,32.0,91.0,1.0,1.0,9,6.05208921432495,81
111,1,1,12,24,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,571,0,35.0,,1.0,1.0,6,6.34738922119141,36
112,1,1,16,30,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,52.0,115.0,6.0,1.0,8,6.28785800933838,64
115,1,1,16,32,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,740,0,49.0,113.0,1.0,1.0,10,6.60664987564087,100
116,1,1,13,32,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,673,1,43.0,123.0,1.0,1.0,13,6.5117449760437,169
119,1,1,12,34,10.0,10.0,89826,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,95.0,1.0,1.0,16,6.64509105682373,256
121,1,1,12,24,10.0,10.0,90339,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,592,0,26.0,102.0,1.0,1.0,6,6.38350677490234,36
125,1,1,9,24,12.0,11.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,213,0,15.0,,6.0,1.0,9,5.36129188537598,81
127,1,1,16,34,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1563,0,50.0,145.0,1.0,1.0,12,7.35436201095581,144
129,1,1,16,28,11.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,774,0,35.0,114.0,1.0,1.0,6,6.65157222747803,36
131,1,1,12,26,8.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,600,0,35.0,113.0,1.0,0.0,8,6.39693021774292,64
133,1,1,18,24,16.0,16.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,693,0,24.0,,6.0,1.0,0,6.54102993011475,0
135,1,1,13,31,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,40.0,93.0,5.0,1.0,12,6.34563589096069,144
136,1,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,433,0,38.0,,5.0,1.0,8,6.07073783874512,64
137,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,538,0,37.0,119.0,2.0,0.0,7,6.28785800933838,49
138,1,1,12,25,12.0,9.0,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,627,0,35.0,108.0,6.0,1.0,7,6.44094705581665,49
139,1,1,8,31,12.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,35.0,,1.0,1.0,17,6.17586708068848,289
141,1,1,12,26,6.0,11.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,545,0,26.0,72.0,1.0,1.0,8,6.30078601837158,64
142,1,1,12,25,12.0,9.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,576,0,34.0,86.0,1.0,1.0,7,6.35610818862915,49
144,1,1,16,25,14.0,12.0,90339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,700,0,42.0,123.0,1.0,1.0,3,6.55108022689819,9
147,1,1,16,28,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,788,0,38.0,103.0,1.0,1.0,6,6.66949796676636,36
148,1,1,17,27,12.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1012,0,42.0,101.0,1.0,1.0,4,6.91968393325806,16
149,1,1,12,24,12.0,10.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,758,0,30.0,,1.0,1.0,6,6.63068294525146,36
150,1,1,14,29,12.0,16.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,601,1,41.0,105.0,6.0,1.0,9,6.39859485626221,81
151,1,1,12,24,,12.0,357519,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,283,0,34.0,,6.0,1.0,6,5.64544677734375,36
154,1,1,12,24,12.0,12.0,397244,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,250,0,29.0,,6.0,1.0,6,5.52146100997925,36
156,1,1,12,26,10.0,12.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,0,33.0,95.0,1.0,1.0,8,6.21460819244385,64
157,1,1,11,31,8.0,6.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,550,0,41.0,98.0,1.0,1.0,14,6.30991792678833,196
158,1,1,12,25,8.0,6.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1143,0,27.0,,1.0,1.0,7,7.04141187667847,49
159,1,1,18,31,8.0,8.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,810,0,39.0,115.0,4.0,0.0,7,6.69703388214111,49
164,1,1,12,28,,9.0,104596,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,313,0,20.0,60.0,6.0,1.0,10,5.74620294570923,100
166,1,1,18,25,,4.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,731,0,36.0,135.0,1.0,1.0,1,6.5944128036499,1
168,1,1,16,25,9.0,10.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,1,35.0,132.0,1.0,1.0,3,6.43775177001953,9
169,1,1,14,24,16.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,588,1,33.0,106.0,1.0,1.0,4,6.37672710418701,16
170,1,1,14,26,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,375,1,28.0,113.0,1.0,1.0,6,5.92692613601685,36
173,1,1,16,29,14.0,11.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,817,0,43.0,102.0,6.0,1.0,7,6.70563888549805,49
175,1,1,14,30,15.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,32.0,91.0,1.0,1.0,10,6.76273012161255,100
176,1,1,15,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,350,0,30.0,104.0,1.0,1.0,7,5.85793304443359,49
177,1,1,13,24,12.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,202,0,22.0,,1.0,1.0,5,5.30826807022095,25
178,1,1,13,32,16.0,16.0,367470,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,505,0,43.0,97.0,1.0,1.0,13,6.22455787658691,169
179,1,1,17,30,12.0,13.0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,816,0,41.0,125.0,1.0,1.0,7,6.70441389083862,49
181,1,1,18,26,14.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,41.0,123.0,6.0,1.0,2,6.43775177001953,4
182,1,1,18,32,16.0,16.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,769,0,35.0,128.0,6.0,1.0,8,6.64509105682373,64
183,1,1,17,27,16.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,500,1,38.0,133.0,6.0,1.0,4,6.21460819244385,16
188,1,1,17,27,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,619,1,32.0,114.0,1.0,1.0,4,6.42810487747192,16
192,1,1,12,30,,8.0,480445,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,40.0,103.0,1.0,1.0,12,6.47697305679321,144
194,0,1,18,28,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,769,0,36.0,130.0,1.0,1.0,4,6.64509105682373,16
195,0,1,12,26,10.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,512,0,33.0,97.0,1.0,1.0,8,6.23832511901855,64
196,0,1,18,31,12.0,13.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,46.0,132.0,1.0,1.0,7,6.43775177001953,49
197,0,1,14,31,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1111,0,41.0,98.0,1.0,1.0,11,7.01301622390747,121
198,0,1,13,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,721,0,41.0,108.0,1.0,1.0,9,6.58063888549805,81
199,0,1,14,32,13.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1154,0,44.0,107.0,1.0,1.0,12,7.05099010467529,144
201,0,1,18,34,18.0,18.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,827,0,40.0,129.0,6.0,1.0,10,6.71780490875244,100
204,0,1,16,34,14.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,923,0,56.0,,1.0,1.0,12,6.82762908935547,144
205,0,1,17,28,14.0,17.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1076,0,42.0,132.0,1.0,1.0,5,6.98100614547729,25
209,0,1,12,33,,8.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,37.0,101.0,1.0,1.0,15,6.43775177001953,225
210,0,1,13,27,,8.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,460,0,24.0,92.0,1.0,1.0,8,6.13122701644897,64
213,0,1,14,24,8.0,12.0,102031,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,900,0,39.0,108.0,6.0,1.0,4,6.80239486694336,16
214,0,1,18,29,8.0,9.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,682,0,,132.0,1.0,1.0,5,6.5250301361084,25
217,0,1,12,24,10.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,411,0,20.0,,1.0,1.0,6,6.01859283447266,36
218,0,1,13,27,12.0,15.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,35.0,106.0,1.0,0.0,8,6.43775177001953,64
222,0,1,18,32,12.0,12.0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1005,0,46.0,123.0,1.0,1.0,8,6.91274309158325,64
225,0,1,11,24,9.0,11.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,725,0,24.0,109.0,1.0,1.0,7,6.58617210388184,49
226,0,1,15,27,8.0,11.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,750,0,35.0,103.0,1.0,1.0,6,6.62007284164429,36
228,0,1,14,29,,8.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,529,0,33.0,108.0,1.0,0.0,9,6.27098798751831,81
229,0,1,17,29,8.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,972,0,47.0,122.0,1.0,1.0,6,6.87935590744019,36
232,0,1,12,26,12.0,12.0,380166,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,472,0,36.0,109.0,1.0,1.0,8,6.15697908401489,64
233,0,1,12,24,12.0,12.0,369567,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,35.0,102.0,6.0,1.0,6,5.7838249206543,36
234,0,1,12,34,,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,875,0,44.0,109.0,1.0,1.0,16,6.77422380447388,256
237,0,1,13,34,9.0,10.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,625,0,40.0,100.0,1.0,1.0,15,6.43775177001953,225
239,0,1,12,26,8.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,337,0,29.0,93.0,1.0,1.0,8,5.8200831413269,64
240,0,1,16,27,5.0,5.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,481,0,37.0,115.0,1.0,1.0,5,6.17586708068848,25
241,0,1,9,29,5.0,,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,650,0,,,6.0,0.0,14,6.47697305679321,196
242,0,1,16,25,5.0,4.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,383,0,39.0,,6.0,0.0,3,5.94803476333618,9
244,0,1,18,30,15.0,14.0,533828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,962,0,50.0,125.0,1.0,1.0,6,6.86901378631592,36
245,0,1,16,29,13.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,615,0,31.0,106.0,6.0,1.0,7,6.42162179946899,49
247,0,1,14,28,12.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,702,0,43.0,113.0,1.0,1.0,8,6.55393409729004,64
249,0,1,14,31,,12.0,551817,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,41.0,122.0,6.0,1.0,11,6.45362520217896,121
250,0,1,12,28,10.0,11.0,422407,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,200,0,35.0,,4.0,0.0,10,5.29831695556641,100
252,0,1,12,27,10.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,817,0,43.0,116.0,1.0,1.0,9,6.70563888549805,81
253,0,1,14,26,,12.0,380166,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,39.0,116.0,1.0,1.0,6,6.35784196853638,36
254,0,1,17,26,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,466,0,34.0,105.0,1.0,1.0,3,6.14418601989746,9
255,0,1,16,29,,12.0,993271,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,924,0,39.0,,1.0,1.0,7,6.82871198654175,49
256,0,1,16,31,12.0,12.0,993271,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,793,1,38.0,112.0,1.0,0.0,9,6.67582321166992,81
257,0,1,14,28,12.0,12.0,760332,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,32.0,113.0,1.0,1.0,8,6.45362520217896,64
259,0,1,12,25,,,369567,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,570,0,22.0,,6.0,1.0,7,6.34563589096069,49
260,0,1,16,29,12.0,12.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,705,0,37.0,94.0,1.0,1.0,7,6.55819797515869,49
261,0,1,14,28,12.0,9.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,635,0,40.0,103.0,1.0,1.0,8,6.45362520217896,64
263,0,1,12,30,,12.0,496635,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,694,0,36.0,102.0,1.0,0.0,12,6.54247188568115,144
264,0,1,13,34,10.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,615,0,47.0,109.0,1.0,1.0,15,6.42162179946899,225
265,0,1,16,26,15.0,10.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,462,0,34.0,130.0,6.0,1.0,4,6.13556480407715,16
266,0,1,12,34,12.0,12.0,408301,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,865,0,45.0,105.0,1.0,1.0,16,6.76273012161255,256
267,0,1,18,33,12.0,12.0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,737,0,46.0,134.0,1.0,1.0,9,6.60258817672729,81
268,0,1,12,25,8.0,14.0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1400,0,39.0,,1.0,1.0,7,7.24422693252563,49
270,0,1,12,31,,7.0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,808,0,43.0,105.0,1.0,0.0,13,6.69456195831299,169
272,0,1,16,26,11.0,12.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,654,0,36.0,104.0,1.0,0.0,4,6.48310804367065,16
273,0,1,12,25,,12.0,369567,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,300,0,35.0,112.0,1.0,1.0,7,5.70378303527832,49
275,0,1,16,30,8.0,10.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,577,0,37.0,115.0,4.0,1.0,8,6.35784196853638,64
279,0,1,16,24,10.0,12.0,410630,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,265,0,44.0,,6.0,1.0,2,5.57973003387451,4
280,0,1,18,31,8.0,8.0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,594,0,33.0,117.0,1.0,1.0,7,6.38687896728516,49
282,0,1,17,26,12.0,8.0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,325,0,29.0,114.0,1.0,1.0,3,5.7838249206543,9
283,0,1,16,24,12.0,8.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,385,1,37.0,118.0,6.0,1.0,2,5.95324277877808,4
284,0,1,18,25,12.0,12.0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1000,0,32.0,107.0,1.0,1.0,1,6.90775489807129,1
285,0,1,18,28,8.0,11.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,465,0,49.0,120.0,6.0,1.0,4,6.14203691482544,16
286,0,1,16,28,16.0,18.0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,440,0,43.0,131.0,6.0,1.0,6,6.0867748260498,36
